sehir,grup,kosuCinsi,mesafe,pist,siklet,yas,handikap,jokey,tam_salise
Ankara,4_ve_Yukari_Araplar,Handikap_17_H1,1900,Cim,61,5yka,75,GokhanKOCAKAYA,13079
Ankara,3_Yasli_Ingilizler,Handikap_15_H1,1900,Cim,59,3yag,49,ErcanCANKAYA,11916
Ankara,3_Yasli_Ingilizler,SARTLI_3,1500,Kum,55,3ydg,43,HismanCIZIK,9479
Izmir,3_ve_Yukari_Ingilizler,SARTLI_4_Disi,1900,Cim,58,4ydk,56,KaancanGOKCE,12054
Izmir,2_Yasli_Ingilizler,KV_6,1400,Kum,53,2yae,35,MertcanCELIK,8913
Izmir,4_ve_Yukari_Araplar,Handikap_14_H2,1300,Cim,51.5,4yak,32,MertUYAR,8692
Izmir,3_Yasli_Ingilizler,SARTLI_4,1300,Cim,56,3yae,52,MustafaCICEK,7843
Izmir,3_Yasli_Ingilizler,Handikap_15_H2,1800,Cim,61.5,3yde,56,SerdarYILDIRIM,11399
Izmir,4_Yasli_Araplar,Handikap_16_H2,2000,Cim,61.5,4yka,66,MertcanCELIK,13741
Bursa,4_ve_Yukari_Araplar,SARTLI_5_Disi,1900,Kum,57,5ykk,49,TolgaYILDIZ,13664
Bursa,4_ve_Yukari_Araplar,Handikap_14_H2,2200,Cim,60,4yaa,45,KaancanGOKCE,15281
Bursa,3_ve_Yukari_Ingilizler,Handikap_21_H2,1500,Cim,57.5,5yda,77,KadirTOKACOGLU,9026
Bursa,3_ve_Yukari_Ingilizler,SARTLI_3,1400,Kum,57,4yda,62,NevzatAVCI,8743
Bursa,3_Yasli_Ingilizler,Handikap_16_H2,2000,Kum,53,3yde,44,OnurYILDIZ,12973
Bursa,3_Yasli_Ingilizler,KV_7,1300,Kum,58,3yke,75,MustafaCICEK,7988
Bursa,4_Yasli_Araplar,Handikap_14_H2,1200,Kum,56.5,4yda,35,NevzatAVCI,8246
Istanbul,3_Yasli_Araplar,Maiden,1400,Cim,57,3yke,34,OzcanYILDIRIM,9603
Istanbul,4_Yasli_Araplar,Handikap_14_Disi_H1,2100,Cim,53.5,4ydk,39,MertcanCELIK,14605
Istanbul,3_Yasli_Ingilizler,SARTLI_5,2100,Sentetik,58,3yde,43,HismanCIZIK,13459
Istanbul,2_Yasli_Ingilizler,KV_7,1400,Sentetik,53,2yae,33,MuslumBAYDAN,8822
Istanbul,4_ve_Yukari_Araplar,Handikap_22_H1,2000,Sentetik,62,8yka,95,GokhanKOCAKAYA,13940
Istanbul,3_Yasli_Araplar,Maiden,1400,Cim,52,3yad,33,VedatABIS,9499
Istanbul,4_ve_Yukari_Araplar,SARTLI_5,1400,Cim,60.5,8yak,100,MehmetAKYAVUZ,9213
Istanbul,3_Yasli_Araplar,KV_7_Disi,1400,Sentetik,57,3ydd,68,GokhanKOCAKAYA,9564
Istanbul,3_ve_Yukari_Ingilizler,Handikap_16_H1,1600,Cim,52.5,3yde,55,GokhanKOCAKAYA,9779
Ankara,4_Yasli_Araplar,Handikap_16_Disi_H1,1900,Cim,58.5,4yak,67,KadirDEMIREL,12958
Ankara,3_Yasli_Araplar,SATIS_2,1200,Kum,55,3ykd,27,VedatABIS,8684
Ankara,3_Yasli_Araplar,Handikap_13_H2,1400,Cim,53.5,3yke,30,MehmetSalihCELIK,9397
Ankara,4_ve_Yukari_Araplar,SARTLI_3,2200,Cim,56.5,4yaa,40,MertGokalpARSLAN,15128
Ankara,3_ve_Yukari_Ingilizler,Handikap_17_H1,1200,Kum,58.5,4yda,75,ErcanCANKAYA,7367
Ankara,3_Yasli_Ingilizler,A_3,1600,Cim,58,3yae,85,HalisKARATAS,9601
Ankara,3_Yasli_Ingilizler,Handikap_15_H1,1300,Cim,55,3yae,50,SerkanYILDIZ,7684
Kocaeli,3_Yasli_Ingilizler,Handikap_15_H2,1200,Kum,60.5,3yde,55,FurkanYUKSEL,7436
Kocaeli,3_ve_Yukari_Ingilizler,Handikap_16_H2,1800,Kum,58,7yaa,52,KadirTOKACOGLU,11791
Kocaeli,3_ve_Yukari_Ingilizler,KV_8,1400,Kum,58,4yda,89,MuratGUNDUZELI,8582
Kocaeli,2_Yasli_Ingilizler,KV_7,1400,Kum,54,2yae,44,MustafaCICEK,8963
Kocaeli,4_Yasli_Araplar,SARTLI_3,1800,Kum,58,4yka,39,FeritYARDIMCI,13142
Elazig,3_Yasli_Araplar,Maiden_Disi,1200,Kum,57,3yad,6,SamiKAPLAN,8898
Elazig,3_ve_Yukari_Ingilizler,SARTLI_2_Disi,1700,Kum,57,4ydk,40,SadikALTAY,11326
Elazig,3_ve_Yukari_Ingilizler,Handikap_15_H3,1600,Kum,58.5,7ydg,45,NecmiALTIN,10393
Elazig,3_Yasli_Ingilizler,Handikap_16_H3,1800,Kum,57.5,3yde,46,IsaAKYAVUZ,12130
Elazig,4_ve_Yukari_Araplar,KV_7,1800,Kum,58,4yaa,68,MehmetAliAKTURK,13276
Elazig,3_Yasli_Araplar,Maiden_Disi,1200,Kum,57,3yad,26,IsaAKYAVUZ,8641
Elazig,4_Yasli_Araplar,SARTLI_3,1900,Kum,55,4yaa,41,MehmetTASKAYA,14268
Istanbul,4_ve_Yukari_Araplar,SARTLI_4_Disi,1600,Cim,55,4yak,77,VedatABIS,10636
Istanbul,2_Yasli_Ingilizler,Maiden_Disi,1200,Sentetik,57,2ydd,36,GokhanKOCAKAYA,7501
Istanbul,4_Yasli_Araplar,KV_7,2200,Sentetik,58,4yaa,78,HalisKARATAS,16022
Istanbul,3_ve_Yukari_Ingilizler,Handikap_17_H1,2000,Sentetik,52.5,4yda,63,GokhanGOKCE,12878
Istanbul,4_ve_Yukari_Araplar,Handikap_17_H1,2200,Cim,54.5,5yaa,62,GokhanKOCAKAYA,15295
Istanbul,3_ve_Yukari_Ingilizler,SARTLI_4,1200,Sentetik,60,5yda,81,GokhanKOCAKAYA,7458
Istanbul,3_Yasli_Araplar,SARTLI_5,1200,Cim,57,3yke,47,OnurYILDIZ,7919
Istanbul,2_Yasli_Ingilizler,Maiden_Disi,1200,Sentetik,57,2ydd,31,MehmetKAYA,7684
Istanbul,3_Yasli_Ingilizler,KV_6_Disi,1500,Sentetik,56,3yad,68,GokhanKOCAKAYA,9357
Ankara,4_Yasli_Araplar,SARTLI_5,1900,Cim,55,4yda,83,VedatABIS,12904
Ankara,3_Yasli_Ingilizler,SARTLI_5,1600,Cim,56,3ydd,47,GokhanKOCAKAYA,9593
Ankara,4_Yasli_Araplar,Handikap_16_Disi_H1,1500,Kum,61.5,4yak,58,VedatKIZMAZ,10720
Ankara,2_Yasli_Ingilizler,SARTLI_4_Disi,1400,Cim,57,2ydd,50,VedatABIS,8585
Ankara,3_Yasli_Araplar,SARTLI_4,1400,Cim,54,3yae,47,VedatABIS,9289
Ankara,4_ve_Yukari_Araplar,SARTLI_4,1600,Kum,60,6yda,92,GokhanKOCAKAYA,11424
Ankara,3_Yasli_Ingilizler,Handikap_14_Disi_H1,1200,Cim,54,3ydd,38,GokhanKOCAKAYA,7077
Kocaeli,3_Yasli_Araplar,SARTLI_5,1400,Kum,57,3yke,59,YunusEmreYUKSEL,9920
Kocaeli,4_ve_Yukari_Araplar,Handikap_21_H2,2000,Kum,55.5,5ydk,63,NurettinSEN,14464
Kocaeli,3_Yasli_Ingilizler,KV_8,1800,Kum,59,3yde,90,AyhanKURSUN,11857
Kocaeli,3_Yasli_Ingilizler,SARTLI_5,1400,Kum,60,3yae,69,AyhanKURSUN,8729
Kocaeli,3_ve_Yukari_Ingilizler,Handikap_14_Disi_H2,1800,Kum,58,4ydk,38,SelimIPEK,11817
Bursa,3_Yasli_Ingilizler,Handikap_16_H2,2000,Cim,56.5,3yde,60,MustafaCICEK,12290
Bursa,3_Yasli_Ingilizler,SARTLI_4,1300,Cim,57,3yde,50,GorkemOZCELIK,7957
Bursa,4_ve_Yukari_Araplar,SARTLI_4,2000,Kum,60,5yda,58,HalilYOLACICI,14504
Bursa,2_Yasli_Ingilizler,A_3,1200,Cim,57,2yde,60,AyhanKURSUN,6997
Bursa,3_Yasli_Araplar,KV_7,1200,Cim,55,3ydd,63,MustafaCICEK,7815
Bursa,3_ve_Yukari_Ingilizler,SARTLI_3,2000,Cim,58,4ydk,52,NevzatAVCI,12268
Bursa,3_ve_Yukari_Ingilizler,Handikap_15_H2,1400,Kum,50,5yda,30,SelimIPEK,8808
Elazig,4_ve_Yukari_Araplar,Handikap_17_H3,1900,Kum,50,6yaa,32,CanerTEPE,13987
Elazig,3_ve_Yukari_Ingilizler,Handikap_14_H3,1900,Kum,54.5,4ydk,28,GalipKILIC,12701
Elazig,2_Yasli_Ingilizler,Maiden_Disi,1200,Kum,57,2ydd,29,MehmetTASKAYA,7984
Elazig,3_Yasli_Araplar,SARTLI_3_Disi,1500,Kum,59,3ykd,31,MehmetTASKAYA,11436
Elazig,3_ve_Yukari_Ingilizler,SARTLI_4,1600,Kum,57,4yda,57,AbdullahCANKAYA,10433
Elazig,4_ve_Yukari_Araplar,SARTLI_3,1600,Kum,57,8yka,28,HasanALTUNDAG,11774
Istanbul,4_ve_Yukari_Araplar,Handikap_16_H1,1400,Cim,62,4yka,69,SerkanYILDIZ,9197
Istanbul,3_Yasli_Ingilizler,SARTLI_5,1900,Cim,56,3ykd,57,GokhanKOCAKAYA,11606
Istanbul,3_Yasli_Araplar,G_1,1600,Cim,57,3yke,90,AhmetCELIK,10480
Istanbul,3_ve_Yukari_Ingilizler,SARTLI_5_Disi,1400,Cim,53,4ykk,55,VedatABIS,8274
Istanbul,3_Yasli_Ingilizler,Handikap_15_H1,1400,Sentetik,61,3yde,52,GokhanKOCAKAYA,8604
Izmir,3_Yasli_Araplar,SARTLI_4,1400,Kum,57,3yke,47,KadirTOKACOGLU,9836
Izmir,2_Yasli_Ingilizler,Maiden,1200,Cim,55,2yad,40,MertcanCELIK,7431
Izmir,3_ve_Yukari_Ingilizler,Handikap_15_H2,1800,Cim,62,4yda,57,MertcanCELIK,11234
Izmir,4_ve_Yukari_Araplar,Handikap_15_Disi_H2,2100,Kum,51,5yak,23,AlaattinKURUNDUK,15118
Izmir,4_Yasli_Araplar,KV_8,1900,Kum,58,4yaa,89,MustafaCICEK,13495
Izmir,4_ve_Yukari_Araplar,SARTLI_5,1900,Cim,56,7yaa,72,HalilGUN,12964
Izmir,3_ve_Yukari_Ingilizler,KV_6,1900,Kum,56,4yda,84,VelatDEMIR,12196
Izmir,3_Yasli_Ingilizler,SARTLI_4_Disi,2100,Kum,58,3ydd,50,NevzatAVCI,13828
Ankara,3_Yasli_Araplar,Maiden,1400,Cim,55,3ykd,35,MehmetAKYAVUZ,9511
Ankara,3_Yasli_Araplar,KV_6_Disi,1400,Cim,57,3yad,64,GokhanKOCAKAYA,9518
Ankara,3_ve_Yukari_Ingilizler,KV_8,2800,Cim,59,4yaa,102,AhmetCELIK,17660
Ankara,3_Yasli_Araplar,Maiden,1400,Cim,54,3yde,33,VedatABIS,9495
Ankara,3_ve_Yukari_Ingilizler,Handikap_16_H1,1400,Cim,50,3yde,57,EmreAKKILIC,8339
Ankara,4_Yasli_Araplar,A_3_Disi,2000,Kum,58,4yak,87,HismanCIZIK,14568
Ankara,2_Yasli_Ingilizler,KV_6,1400,Cim,54,2yde,53,AhmetCELIK,8487
Ankara,4_Yasli_Araplar,Handikap_14_H1,1900,Cim,52.5,4yaa,27,MehmetKESKIN,12975
Ankara,4_ve_Yukari_Araplar,Handikap_16_H1,2200,Kum,50,5yka,42,BurhanKILINC,16005
Izmir,2_Yasli_Ingilizler,SARTLI_5,1300,Cim,55,2ydd,41,ArifOkanPAZAR,7938
Izmir,3_ve_Yukari_Ingilizler,SARTLI_5,2000,Cim,56.5,5yda,61,YunusEmreYUKSEL,12413
Izmir,3_Yasli_Ingilizler,Handikap_14_H2,1200,Cim,61.5,3yae,47,MertcanCELIK,7260
Izmir,4_ve_Yukari_Araplar,SARTLI_4,2100,Kum,56,5yaa,99,MustafaCICEK,14928
Izmir,3_Yasli_Ingilizler,KV_6_Disi,1300,Cim,55,3ydd,36,BekirMertMIRIK,7782
Izmir,4_Yasli_Araplar,SARTLI_5,1200,Cim,52,4yka,39,MertcanAKIN,7848
Bursa,4_ve_Yukari_Araplar,Handikap_14_Disi_H2,1300,Cim,61.5,5ydk,47,NurettinSEN,8488
Bursa,3_Yasli_Ingilizler,Handikap_16_Disi_H2,2000,Cim,51,3ydd,47,GorkemOZCELIK,12768
Bursa,4_Yasli_Araplar,KV_7,2000,Cim,58,4yka,78,MustafaCICEK,13728
Bursa,3_ve_Yukari_Ingilizler,Handikap_15_H2,1400,Cim,53.5,4yda,39,TugayALICI,8293
Bursa,3_Yasli_Ingilizler,SARTLI_3,1400,Kum,58,3yde,78,TolgaYILDIZ,8863
Bursa,3_ve_Yukari_Ingilizler,KV_7,1800,Cim,58,4yda,86,AyhanKURSUN,10786
Bursa,4_ve_Yukari_Araplar,SATIS_1,1700,Cim,56,7yaa,60,MahmutTURAN,11332
Istanbul,3_Yasli_Ingilizler,SARTLI_5,1500,Sentetik,56,3yde,64,GokhanKOCAKAYA,9174
Istanbul,3_Yasli_Araplar,SARTLI_5_Disi,1400,Cim,57,3ykd,58,OnurOZTURK,9218
Istanbul,4_ve_Yukari_Araplar,SARTLI_3,1900,Cim,60,6yaa,90,AkinOZTURK,12808
Istanbul,4_Yasli_Araplar,Handikap_15_H1,1600,Cim,61.5,4yaa,60,OzcanYILDIRIM,10594
Istanbul,3_ve_Yukari_Ingilizler,Handikap_24_H1,1400,Cim,50,3yde,79,MucahitBAYIR,8279
Istanbul,4_ve_Yukari_Araplar,G_2,1900,Cim,59,5yaa,117,AkinCELIK,12801
Istanbul,4_ve_Yukari_Araplar,Handikap_16_H1,1400,Sentetik,58,5yaa,65,AhmetCELIK,9426
Ankara,3_ve_Yukari_Ingilizler,SARTLI_5,1900,Cim,56,4yaa,69,"M,uslumCELIK",11835
Ankara,3_Yasli_Ingilizler,KV_6,1300,Kum,58,3yae,86,AyhanKURSUN,7904
Ankara,3_ve_Yukari_Ingilizler,Handikap_15_H1,2400,Cim,50,9ydk,26,HarunKILICARSLAN,15657
Ankara,4_ve_Yukari_Araplar,SARTLI_4_Disi,2100,Kum,59,7yak,75,MuhammetOZDEMIR,15550
Ankara,4_Yasli_Araplar,SARTLI_2,1600,Cim,51,4yka,39,AzizAKDEMIR,10717
Ankara,2_Yasli_Ingilizler,Maiden,1200,Cim,55,2yad,37,MuslumCELIK,7198
Ankara,3_Yasli_Araplar,SARTLI_3,1400,Kum,54,3yad,41,MuhammetOZDEMIR,10130
Ankara,4_ve_Yukari_Araplar,Handikap_21_H1,1400,Cim,58,5ykk,85,FurkanCETIN,9206
Kocaeli,4_Yasli_Araplar,SARTLI_4_Disi,1800,Kum,58,4yak,58,KaancanGOKCE,13327
Kocaeli,3_Yasli_Araplar,SARTLI_2,1400,Kum,57,3yae,39,YunusEmreYUKSEL,9953
Kocaeli,4_Yasli_Araplar,Handikap_15_H2,2000,Kum,56,4yaa,42,GorkemOZCELIK,14769
Kocaeli,3_Yasli_Ingilizler,Maiden_Disi,1700,Kum,55,3ydd,26,AhmetSASMAZ,11465
Kocaeli,4_ve_Yukari_Araplar,SARTLI_4,1500,Kum,55.5,8yaa,90,MustafaCICEK,10443
Kocaeli,3_ve_Yukari_Ingilizler,KV_7,1900,Kum,58,4yda,87,MustafaCICEK,12330
Kocaeli,3_Yasli_Ingilizler,Handikap_16_H2,1900,Kum,60,3yde,64,MustafaCICEK,12577
Kocaeli,3_Yasli_Ingilizler,Maiden_Disi,1700,Kum,57,3ydd,37,GorkemOZCELIK,11428
Elazig,3_Yasli_Ingilizler,SARTLI_4_Disi,1600,Kum,61,3ydd,58,FeritYARDIMCI,10644
Elazig,4_Yasli_Araplar,SARTLI_5_Disi,2000,Kum,58,4ykk,46,HuseyinALTUNKILIC,15255
Elazig,3_Yasli_Araplar,SARTLI_4,1200,Kum,57,3yke,39,BurakBEKTAS,8562
Elazig,2_Yasli_Ingilizler,SARTLI_2_Disi,1200,Kum,60,2yad,36,MehmetAliAKTURK,7699
Elazig,4_ve_Yukari_Araplar,KV_7,1200,Kum,57,8yaa,73,MenderesAVSAR,8276
Elazig,3_ve_Yukari_Ingilizler,SARTLI_5,2000,Kum,58.5,8yaa,56,MenderesAVSAR,13274
Istanbul,4_Yasli_Araplar,SARTLI_4_Disi,2000,Sentetik,58,4yak,52,AkinSOZEN,14673
Istanbul,3_Yasli_Ingilizler,Handikap_15_H1,2400,Cim,61,3yde,45,OzcanYILDIRIM,15633
Istanbul,4_Yasli_Araplar,Handikap_14_H1,1400,Sentetik,56,4yak,40,GokhanKOCAKAYA,9782
Istanbul,3_ve_Yukari_Ingilizler,A_3,1200,Sentetik,60,4yda,101,HalisKARATAS,7253
Istanbul,4_ve_Yukari_Araplar,SARTLI_5,1300,Sentetik,57,7yaa,97,SadettinBOYRAZ,8814
Istanbul,3_ve_Yukari_Ingilizler,KV_8_Disi,2100,Cim,60,4ydk,91,AhmetCELIK,13064
Istanbul,3_ve_Yukari_Ingilizler,SARTLI_3,1400,Cim,60,8yda,95,AhmetCELIK,8346
Ankara,4_Yasli_Araplar,SARTLI_4_Disi,2200,Cim,59,4yak,61,KadirDEMIREL,15702
Ankara,3_Yasli_Ingilizler,SATIS_1,2000,Kum,56,3ydd,40,MehmetSalihCELIK,13478
Ankara,3_Yasli_Ingilizler,Handikap_16_H1,1400,Kum,59.5,3yde,56,MuslumCELIK,8888
Ankara,4_Yasli_Araplar,Handikap_16_H1,1600,Cim,60,4yaa,58,HalisKARATAS,10878
Ankara,3_ve_Yukari_Ingilizler,KV_6,1400,Cim,57,4yda,85,MuslumCELIK,8301
Ankara,3_ve_Yukari_Ingilizler,A_2_Disi,2400,Cim,58.5,7yak,106,GokhanKOCAKAYA,15195
Ankara,3_Yasli_Araplar,KV_8,1200,Kum,57,3yae,52,HarunKILICARSLAN,8438
Kocaeli,3_Yasli_Araplar,Maiden,1200,Kum,53,3yke,24,CemalPASO,8647
Kocaeli,4_ve_Yukari_Araplar,SARTLI_4,1900,Kum,57,7yaa,75,KaancanGOKCE,13832
Kocaeli,3_ve_Yukari_Ingilizler,SARTLI_3,2000,Kum,56,4yaa,56,OkanAKEL,13133
Kocaeli,3_ve_Yukari_Ingilizler,Handikap_15_H2,1200,Kum,55,3yde,49,FurkanYUKSEL,7517
Kocaeli,3_Yasli_Ingilizler,KV_7_Disi,1900,Kum,60,3ydd,64,AlicanINCI,12510
Kocaeli,3_Yasli_Araplar,Maiden,1200,Kum,58,3yad,38,HismanCIZIK,8535
Kocaeli,4_Yasli_Araplar,SATIS_1,1500,Kum,55,4yka,31,CemalPASO,10690
Bursa,2_Yasli_Ingilizler,SARTLI_3,1300,Cim,57,2yke,41,HalilALTIN,7864
Bursa,3_Yasli_Ingilizler,SARTLI_4_Disi,1400,Kum,60,3ydd,75,MustafaCICEK,8997
Bursa,3_ve_Yukari_Ingilizler,SARTLI_4,1800,Kum,52,4yaa,75,GorkemOZCELIK,11750
Bursa,3_Yasli_Araplar,SARTLI_4,1400,Kum,58,3yad,50,MertcanCELIK,9936
Bursa,3_Yasli_Araplar,A_3,1200,Kum,57,3yke,49,MahmutTURAN,8307
Bursa,4_Yasli_Araplar,KV_6,1400,Kum,56,4ykk,79,SadettinBOYRAZ,9717
Bursa,4_ve_Yukari_Araplar,Handikap_15_H2,1900,Kum,60,5yda,47,CetinTAS,13639
Elazig,3_Yasli_Araplar,Handikap_13_H3,1200,Kum,56.5,3yke,30,IsaKATAR,8661
Elazig,3_ve_Yukari_Ingilizler,Handikap_14_Disi_H3,1900,Kum,52,4ydk,21,GalipKILIC,12552
Elazig,3_Yasli_Ingilizler,Maiden,1600,Kum,56,3ydd,18,SamiKAPLAN,10687
Elazig,4_ve_Yukari_Araplar,Handikap_16_H3,1600,Kum,61,4yaa,63,MehmetAliAKTURK,11530
Elazig,3_Yasli_Ingilizler,SARTLI_3,1600,Kum,55,3yad,23,BurakBEKTAS,10692
Elazig,3_ve_Yukari_Ingilizler,A_3,1500,Kum,60,5yda,84,FeritYARDIMCI,9612
Elazig,3_Yasli_Ingilizler,Maiden,1600,Kum,58,3yke,33,IsaAKYAVUZ,10699
Istanbul,4_Yasli_Araplar,Handikap_16_H1,1900,Cim,58.5,4yka,62,AkinSOZEN,12807
Istanbul,3_ve_Yukari_Ingilizler,Handikap_21_H1,1500,Sentetik,61,5yda,82,OzcanYILDIRIM,9113
Istanbul,2_Yasli_Ingilizler,SARTLI_3,1300,Cim,54,2ydd,32,GokhanKOCAKAYA,7985
Istanbul,3_Yasli_Araplar,Maiden,1400,Sentetik,57,3yke,34,AhmetCELIK,9702
Istanbul,3_ve_Yukari_Ingilizler,SARTLI_3,1900,Cim,57,5yda,60,AkinSOZEN,11738
Istanbul,4_Yasli_Araplar,G_1,2400,Cim,56,4ykk,110,GokhanKOCAKAYA,16729
Istanbul,3_Yasli_Ingilizler,SARTLI_4,1400,Cim,58,3yde,74,AhmetCELIK,8410
Istanbul,3_ve_Yukari_Ingilizler,G_1,2000,Cim,58.5,5yaa,111,HismanCIZIK,12237
Izmir,4_Yasli_Araplar,SARTLI_3_Disi,1600,Kum,58,4ydk,36,MertcanCELIK,11345
Izmir,3_Yasli_Araplar,Maiden,1300,Cim,55,3ykd,27,MustafaCICEK,8720
Izmir,2_Yasli_Ingilizler,SARTLI_3,1200,Cim,57,2yae,44,MustafaCICEK,7144
Izmir,3_Yasli_Ingilizler,SARTLI_5,1600,Kum,52,3ydd,73,NevzatAVCI,10016
Izmir,3_ve_Yukari_Ingilizler,Handikap_15_H2,1900,Kum,50.5,4yak,35,FeyzullahAVCI,12216
Izmir,3_Yasli_Araplar,Maiden,1300,Cim,57,3yae,30,MustafaCICEK,8608
Izmir,3_Yasli_Araplar,KV_6,1300,Cim,54,3yke,40,MertcanCELIK,8494
Izmir,3_ve_Yukari_Ingilizler,KV_6_Disi,1400,Kum,60,7ydk,97,MertcanCELIK,8618
Izmir,4_ve_Yukari_Araplar,Handikap_17_H2,1400,Kum,50,5yka,42,AlaattinKURUNDUK,9527
Ankara,3_Yasli_Ingilizler,Maiden,1900,Cim,58,3yde,21,BurhanKILINC,11796
Ankara,3_ve_Yukari_Ingilizler,SARTLI_4_Disi,1500,Kum,56,4ydk,68,AzizAKDEMIR,9491
Ankara,2_Yasli_Ingilizler,KV_6,1300,Kum,53,2yde,51,MuslumCELIK,8138
Ankara,3_Yasli_Ingilizler,SATIS_2,1400,Cim,52,3ydd,28,MucahitBAYIR,8453
Ankara,4_ve_Yukari_Araplar,SARTLI_5,2000,Kum,60,5yka,86,AkinSOZEN,14508
Ankara,4_Yasli_Araplar,Handikap_15_Disi_H1,1400,Cim,51.5,4ykk,37,MuslumCELIK,9312
Ankara,3_Yasli_Ingilizler,KV_6,1900,Cim,56,3yde,64,GokhanKOCAKAYA,11630
Ankara,3_ve_Yukari_Ingilizler,SARTLI_5,2200,Kum,60.5,5yda,83,AkinCELIK,14536
Ankara,3_Yasli_Ingilizler,Maiden,1900,Cim,56,3ydd,31,MehmetAKYAVUZ,11862
Izmir,4_ve_Yukari_Araplar,SARTLI_4_Disi,1700,Cim,57,6yak,62,AlicanINCI,11579
Izmir,2_Yasli_Ingilizler,SARTLI_4_Disi,1200,Cim,55,2ydd,40,GokhanGOKCE,7072
Izmir,3_Yasli_Ingilizler,KV_7,2000,Cim,58,3yde,58,MertcanCELIK,12301
Izmir,3_ve_Yukari_Ingilizler,Handikap_15_H2,1300,Cim,58.5,5yda,48,BarisKURDU,7675
Izmir,3_ve_Yukari_Ingilizler,SARTLI_4,1200,Kum,60,6yag,88,MustafaCICEK,7385
Izmir,3_Yasli_Ingilizler,Handikap_16_H2,1900,Kum,55,3yae,55,MustafaCICEK,12287
Izmir,4_ve_Yukari_Araplar,Handikap_17_H2,1200,Cim,54,4yka,67,HalilKAPLAN,7732
Bursa,3_Yasli_Araplar,Maiden,1400,Kum,54,3yad,37,CemalPASO,10069
Bursa,4_ve_Yukari_Araplar,SARTLI_4,1800,Cim,60,6yaa,77,MustafaCICEK,12021
Bursa,2_Yasli_Ingilizler,SARTLI_5,1300,Kum,59,2yde,54,GokhanGOKCE,8288
Bursa,3_Yasli_Araplar,Maiden,1400,Kum,57,3yke,30,OnurYILDIZ,10078
Bursa,3_ve_Yukari_Ingilizler,Handikap_14_H2,2000,Kum,60,5yaa,40,SelimIPEK,13130
Bursa,3_Yasli_Ingilizler,Handikap_16_H2,1400,Kum,50,3yde,47,NevzatAVCI,8713
Bursa,3_ve_Yukari_Ingilizler,KV_6,1200,Kum,60,5yda,86,MustafaCICEK,7375
